year,total,country,players,percentage,latitude,longitude
2006,737,Scotland,11,1.49,56.816722,-4.183889
2006,737,Serbia and Montenegro,8,1.09,44.016521,21.005859
2006,737,South Korea,16,2.17,35.907757,127.766922
2006,737,Spain,53,7.19,40.463667,-3.74922
2006,737,Sweden,8,1.09,60.128161,15.643501
2006,737,Switzerland,14,1.9,46.818188,8.227512
2006,737,Togo,1,0.14,8.619543,0.824782
2006,737,Trinidad and Tobago,4,0.54,10.691803,-61.222503
2006,737,Tunisia,5,0.68,33.886917,9.537499
2006,737,Turkey,12,1.63,38.963745,35.243322
2006,737,Ukraine,28,3.8,48.379433,31.16558
2006,737,United Arab Emirates,1,0.14,23.424076,53.847818
2006,737,United States,15,2.04,37.09024,-95.712891
2010,736,Algeria,3,0.41,28.033886,1.659626
2010,736,Argentina,11,1.49,-38.416097,-63.616672
2010,736,Australia,10,1.36,-25.274398,133.775136
2010,736,Austria,1,0.14,47.516231,14.550072
2010,736,Belgium,8,1.09,50.503887,4.469936
2010,736,Brazil,6,0.82,-14.235004,-51.92528
2010,736,Bulgaria,1,0.14,42.733883,25.48583
2010,736,Cameroon,1,0.14,7.369722,12.354722
2010,736,Chile,10,1.36,-35.675147,-71.542969
2010,736,China,3,0.41,35.86166,104.195397
2010,736,Colombia,1,0.14,4.570868,-74.297333
2010,736,Cyprus,1,0.14,35.126413,33.429859
2010,736,Czech Republic,1,0.14,49.817492,15.472962
2010,736,Denmark,9,1.22,56.26392,9.501785
2010,736,Ecuador,2,0.27,-1.831239,-78.183406
2010,736,Egypt,1,0.14,26.820553,30.802498
2010,736,England,115,15.63,52.561667,-1.464722
2010,736,France,44,5.98,46.227638,2.213749
2010,736,Germany,85,11.55,51.165691,10.451526
2010,736,Ghana,3,0.41,7.946527,-1.023194
2010,736,Greece,22,2.99,39.074208,21.824312
2010,736,Honduras,14,1.9,15.199999,-86.241905
2010,736,Israel,6,0.82,31.046051,34.851612
2010,736,Italy,78,10.6,41.87194,12.56738
2010,736,Ivory Coast,1,0.14,7.539989,-5.54708
2010,736,Japan,25,3.4,36.204824,138.252924
2010,736,Mexico,21,2.85,23.634501,-102.552784
2010,736,Netherlands,33,4.48,52.132633,5.291266
2010,736,New Zealand,4,0.54,-40.900557,174.885971
2010,736,North Korea,20,2.72,40.339852,127.510093
2010,736,Norway,2,0.27,60.472024,8.468946
2010,736,Paraguay,4,0.54,-23.442503,-58.443832
2010,736,Poland,3,0.41,51.919438,19.145136
2010,736,Portugal,21,2.85,39.399872,-8.224454
2010,736,Qatar,1,0.14,25.354826,51.183884
2010,736,Romania,4,0.54,45.943161,24.96676
2010,736,Russia,14,1.9,61.52401,105.318756
2010,736,Saudi Arabia,1,0.14,23.885942,45.079162
2010,736,Scotland,10,1.36,56.816722,-4.183889
2010,736,Serbia,2,0.27,44.016521,21.005859
2010,736,Slovakia,2,0.27,48.669026,19.699024
2010,736,Slovenia,2,0.27,46.151241,14.995463
2010,736,South Africa,16,2.17,-30.559482,22.937506
2010,736,South Korea,13,1.77,35.907757,127.766922
2010,736,Spain,60,8.15,40.463667,-3.74922
2010,736,Sweden,1,0.14,60.128161,15.643501
2010,736,Switzerland,10,1.36,46.818188,8.227512
2010,736,Turkey,14,1.9,38.963745,35.243322
2010,736,Ukraine,2,0.27,48.379433,31.16558
2010,736,United Arab Emirates,2,0.27,23.424076,53.847818
2010,736,United States,7,0.95,37.09024,-95.712891
2010,736,Uruguay,2,0.27,-32.522779,-55.765835
2014,736,Algeria,2,0.27,28.033886,1.659626
2014,736,Argentina,7,0.95,-38.416097,-63.616672
2014,736,Australia,7,0.95,-25.274398,133.775136
2014,736,Austria,2,0.27,47.516231,14.550072
2014,736,Belgium,12,1.63,50.503887,4.469936
2014,736,Bosnia and Herzegovina,1,0.14,43.915886,17.679076
2014,736,Brazil,11,1.49,-14.235004,-51.92528
2014,736,Bulgaria,1,0.14,42.733883,25.48583
